Registration No,Generic name,Trade name,Strength value,Unit of strength ,Dosage Form,Route of Administration,Volume,Unit of volume,Package type,Shelf-life (mon),Package size,Legal status,Product control,Storage conditions,ATCvet,Target Animals,Type,Withdrawal Period (days),Manufacturer name,Country of Manufacturer,Marketing Company,Nationality,MAH (Agent name),Authorization status,Marketed,Marketing status
4000016000402,Doxycycline ,Doxyvet 20%,200,mg/g  ,Powder for use in drinking water,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA02,"Poultry, Dogs",meat,28,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000403,Doxycycline ,Doxyvet 20%,200,mg/g  ,Powder for use in drinking water,Oral,500,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA02,"Poultry, Dogs",meat,28,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000401,Doxycycline ,Doxyvet 20%,200,mg/g  ,Powder for use in drinking water,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA02,"Poultry, Dogs",meat,28,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000802,Dipyrone (Metamizole),Antipyrone Inj. ®,500,mg/ml,Solution for injection,Subcutaneous,50,ml,Vial,24,1,Prescription,Uncontrolled,,QN02BB02,,,,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000801,Dipyrone (Metamizole),Antipyrone Inj. ®,500,mg/ml,Solution for injection,Subcutaneous,100,ml,Vial,24,1,Prescription,Uncontrolled,,QN02BB02,,,,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000501,Enrofloxacin (Lactate),Enrovet  Inj,123.8,mg/ml,Solution for injection,Subcutaneous,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01MA90,"Cattle,Pig,Dog,Cat","meat, milk","28, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000502,Enrofloxacin (Lactate),Enrovet  Inj,123.8,mg/ml,Solution for injection,Subcutaneous,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01MA90,"Cattle,Pig,Dog,Cat","meat, milk","28, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000601,Gentamicin Sulphate,Gentavet Inj,50,mg/ml,Solution for injection,Subcutaneous,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01GB03,"Cattle,Goat,Sheep,Poultry,Dog,Cat","meat, egg, milk","28, 7, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000602,Gentamicin Sulphate,Gentavet Inj,50,mg/ml,Solution for injection,Subcutaneous,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01GB03,"Cattle,Goat,Sheep,Poultry,Dog,Cat","meat, egg, milk","28, 7, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001001,Piperazine Citrate,Piperamentic 36%,360,mg/g  ,powder for use in drinking water,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QP52AH01,"Poultry,Cattle,Horse",meat,28,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001002,Piperazine Citrate,Piperamentic 36%,360,mg/g  ,Powder for use in drinking water,Oral,500,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QP52AH01,"Poultry,Cattle,Horse",meat,28,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001003,Piperazine Citrate,Piperamentic 36%,360,mg/g  ,Powder for use in drinking water,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QP52AH01,"Poultry,Cattle,Horse",meat,28,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001101,"Sulphadiazine Sodium, Trimethoprim",Sulphaprim,"200, 40 ",mg/ml,Solution for injection,Subcutaneous,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01EW10,"Cattle,Horse,Sheep,Pig,Dog,Cat",meat,21,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001102,"Sulphadiazine Sodium, Trimethoprim",Sulphaprim,"200, 40",mg/ml,Solution for injection,Subcutaneous,100,ml,vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01EW10,"Cattle,Horse,Sheep,Pig,Dog,Cat",meat,21,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001301,Erythromycin thiocyacnate,Erythrate 35%,350,mg/g,Powder for use in drinking water,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01FA01,Poultry,"meat, egg","14, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001302,Erythromycin thiocyacnate,Erythrate 35%,350,mg/g,Powder for use in drinking water,Oral,500,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01FA01,Poultry,"meat, egg","14, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001303,Erythromycin thiocyacnate,Erythrate 35%,350,mg/g,Powder for use in drinking water,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01FA01,Poultry,"meat, egg","14, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001401,Menadione sodium bisulphate,Vitamin K3,125,mg,Powder for use in drinking water,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QB02BA02,"Cattle,Calve ,Sheep,Poultry",0,0,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001701,"Vitamin A, Vitamin D3, Vitamin E",Vitamin AD3E Sol,,,Oral solution,Oral,1,l,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QA11JA,"Cattle,Calve ,Sheep,Poultry",,,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001702,"Vitamin A, Vitamin D3, Vitamin E",Vitamin AD3E Sol,,,Oral solution,Oral,5,l,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QA11JA,"Cattle,Calve ,Sheep,Poultry",,,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001703,"Vitamin A, Vitamin D3, Vitamin E",Vitamin AD3E Sol,,,Oral solution,Oral,20,l,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QA11JA,"Cattle,Calve ,Sheep,Poultry",,,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001501,Menadione sodium metabisulfite (Trihydrate) ,Vitamin K3 Inj.,10,mg,Solution for injection,Intramuscular,10,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QB02BA02,"Cattle,Sheep,Horse ,Goat, Dog",0,0,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001502,Menadione sodium metabisulfite (Trihydrate) ,Vitamin K3 Inj.,10,mg,Solution for injection,Intramuscular,20,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QB02BA02,"Cattle,Sheep,Horse ,Goat, Dog",0,0,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001503,Menadione sodium metabisulfite (Trihydrate) ,Vitamin K3 Inj.,10,mg,Solution for injection,Intramuscular,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QB02BA02,"Cattle,Sheep,Horse ,Goat, Dog",0,0,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001504,Menadione sodium metabisulfite (Trihydrate) ,Vitamin K3 Inj.,10,mg,Solution for injection,Intramuscular,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QB02BA02,"Cattle,Sheep,Horse ,Goat, Dog",0,0,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000904,Oxytetracycline,Oxytetravet Inj L.A®,200,mg/ml,Solution for injection,Intramuscular,10,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Cattle,Sheep,Horse ,Goat","meat, milk","28, 10",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000905,Oxytetracycline,Oxytetravet Inj L.A®,200,mg/ml,Solution for injection,Intramuscular,20,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Cattle,Sheep,Horse ,Goat","meat, milk","28, 10",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000906,Oxytetracycline,Oxytetravet Inj L.A®,200,mg/ml,Solution for injection,Intramuscular,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Cattle,Sheep,Horse ,Goat","meat, milk","28, 10",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016000907,Oxytetracycline,Oxytetravet Inj L.A®,200,mg/ml,Solution for injection,Intramuscular,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Cattle,Sheep,Horse ,Goat","meat, milk","28, 10",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001103,"Sulphadiazine Sodium, Trimethoprim",Primovet®,"40, 8",%,Powder for use in drinking water,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01EW10,"Cattle,Sheep,Horse ,Poultry",meat,12,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001104,"Sulphadiazine Sodium, Trimethoprim",Primovet®,"40, 8",%,Powder for use in drinking water,Oral,500,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01EW10,"Cattle,Sheep,Horse ,Poultry",meat,12,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001105,"Sulphadiazine Sodium, Trimethoprim",Primovet®,"40, 8",%,Powder for use in drinking water,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01EW10,"Cattle,Sheep,Horse ,Poultry",meat,12,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001601,"Lincomycine, Spectinomycin",Spectovet®,"56.7, 151.2",mg/ml,Solution for injection,Intramuscular,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01FF52,"Cattle,Sheep,Goat,Dog,Cat ,Poultry","meat, milk","14, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001602,"Lincomycine, Spectinomycin",Spectovet®,"56.7, 151.2",mg/ml,Solution for injection,Intramuscular,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01FF52,"Cattle,Sheep,Goat,Dog,Cat ,Poultry","meat, milk","14, 7",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
5600016001801,Dexamethasone Sodium Phosphate,DEXA-kel 02,2.64,mg/ml,Solution for injection,Intramuscular,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QS01BA01,"Cattle, Horses, Sheep, Goat, Cats, Dogs ","meat, milk","21, 7",KELA LABORATORIA,BELGIUM,Kela Laboratoria N.V.,BELGIUM,Altaher International Establishment,Valid,Marketed,Marketed
6820016001901,Sulfamethazine Sodium ,Sulphadimidine 20%®,200,mg/g  ,Powder for use in drinking water,Oral,500,g,Jar,24,1,Prescription,Uncontrolled,Store below 30°C,,"Poultry, Calves, Sheep,Goats, Cattle, Camle, Horse, Dog,Cat, Lambs, Buffaloes","meat, milk","12, 7",Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016000401,Doxycycline,Doxy-sav 50%®,554.4,mg/g  ,Powder for use in drinking water,Oral,500,g,Jar,24,1,OTC,Uncontrolled,Store below 30°C,QJ01AA02,Poultry,meat,14,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016002001,Ronidazole,Trichozole 10%®,10,mg,Powder for use in drinking water,Oral,250,g,Bottle,24,1,OTC,Uncontrolled,Store below 30°C,QP51AA08,,,,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016002002,Ronidazole,Trichozole 10%®,10,mg,Powder for use in drinking water,Oral,100,g,Bottle,24,1,OTC,Uncontrolled,Store below 30°C,QP51AA08,,,,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
7240016002101,"Vitamin E, Selenium",Esvex,"150, 0.5",mg,Solution for injection,Intramuscular,100,ml,Vial,24,1,OTC,Uncontrolled,Store below 25°C,,"Cattle,Sheep",meat,10,S.P. Veterinaria s.a Co.,SPAIN,S.P. Veterinaria s.a Co.,SPAIN,Salehiya Trading Establishment,Valid,Marketed,Marketed
6820016002201,"Levamisole Hydrochloride, Oxyclozanide",Leva-Cloza Sav,"30, 60",mg/ml,Oral suspension,Oral,1000,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,,"Calf, Cattle, Goat, Sheep",meat,18,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016000901,Oxytetracycline,Savecycline 50%,500,mg,Powder for oral solution,Oral,500,g,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QJ01AA06,"Calf, Poultry",meat,14,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016000902,Oxytetracycline,Savecycline 20%,200,mg,Powder for oral solution,Oral,500,g,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QJ01AA06,"Calf, Poultry",meat,14,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016000801,Dipyrone (Metamizole),Metalgen,500,mg/ml,Solution for injection,Intramuscular,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 30°C,QN02BB02,"Cat, Dog, Foal, Horse",,,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016001301,Erythromycin thiocyacnate,Erythromycin Sav 20%,200,mg,Powder for oral solution,Oral,500,g,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QJ01FA01,"Calf, Foal, Lamb, Poultry",meat,14,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016002301,Toltrazuril,Toltra Sav,25,mg/ml,Oral solution,Oral,1000,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QP51AJ01,"Chicken, Chicken for reproduction, Pigeon, Turkey",,,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
6820016000903,Oxytetracycline,Oxysav 20%,200,mg/ml,Solution for injection,Intramuscular,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 30°C,QJ01AA06,"Calf, Cattle, Goat, Sheep","meat, milk","28, 10",Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
7240016001201,Tylosin Base,Inectil,200,mg/ml,Solution for injection,Intramuscular,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01FA90,"Cattle, Goat, Sheep","meat, milk","21, 4",S.P. Veterinaria s.a Co.,SPAIN,S.P. Veterinaria s.a Co.,SPAIN,Salehiya Trading Establishment,Valid,Marketed,Marketed
